CPU,NUMERO_ITERACION,LATENCIA
0,0,6005
0,1,3567
0,2,3546
0,3,4201
0,4,4907
0,5,3369
0,6,3048
0,7,3214
0,8,5644
0,9,3367
0,10,3353
0,11,2965
0,12,3202
0,13,3109
0,14,2687
0,15,2673
0,16,2937
0,17,4695
0,18,3822
0,19,4137
0,20,5027
0,21,2819
0,22,9362
0,23,2970
0,24,2747
0,25,2779
0,26,2841
0,27,3994
0,28,3121
0,29,3495
0,30,2922
0,31,3623
0,32,3555
0,33,3190
0,34,3406
0,35,3724
0,36,3147
0,37,4184
0,38,3183
0,39,4318
0,40,4168
0,41,3895
0,42,3671
0,43,3767
0,44,4012
0,45,3422
0,46,2807
0,47,3666
0,48,2936
0,49,3819
0,50,3206
0,51,3430
0,52,3779
0,53,3275
0,54,2852
0,55,3430
0,56,2932
0,57,4310
0,58,2913
0,59,2874
0,60,2871
0,61,3267
0,62,3389
0,63,3223
0,64,2900
0,65,3122
0,66,2540
0,67,3689
0,68,3236
0,69,3070
0,70,3511
0,71,3673
0,72,3629
0,73,3530
0,74,2981
0,75,2767
0,76,3023
0,77,3661
0,78,3125
0,79,3242
0,80,3964
0,81,3479
0,82,3561
0,83,3103
0,84,2970
0,85,3313
0,86,2845
0,87,3875
0,88,3936
0,89,3542
0,90,2907
0,91,3485
0,92,3724
0,93,3698
0,94,2786
0,95,2991
0,96,3170
0,97,3319
0,98,3026
0,99,3562
0,100,2854
0,101,3075
0,102,2770
0,103,3219
0,104,2824
0,105,3079
0,106,2637
0,107,3027
0,108,2638
0,109,5232
0,110,2938
0,111,2970
0,112,2832
0,113,2968
0,114,5088
0,115,3517
0,116,3578
0,117,2875
0,118,2741
0,119,3157
1,0,3703
1,1,3497
1,2,4055
1,3,3760
1,4,3738
1,5,2412
1,6,2760
1,7,3259
1,8,3485
1,9,2715
1,10,2602
1,11,2662
1,12,3522
1,13,2831
1,14,2745
1,15,2489
1,16,3033
1,17,4974
1,18,4042
1,19,3882
1,20,5298
1,21,2869
1,22,148949
1,23,2875
1,24,2672
1,25,3176
1,26,2739
1,27,4704
1,28,2584
1,29,2931
1,30,2658
1,31,3430
1,32,4030
1,33,3004
1,34,3259
1,35,3290
1,36,2769
1,37,3665
1,38,2833
1,39,3817
1,40,3644
1,41,3659
1,42,3068
1,43,3967
1,44,2920
1,45,3255
1,46,2727
1,47,3115
1,48,3093
1,49,3784
1,50,2931
1,51,3200
1,52,3138
1,53,2794
1,54,2366
1,55,2776
1,56,3191
1,57,3338
1,58,2904
1,59,2641
1,60,2859
1,61,2656
1,62,3237
1,63,3095
1,64,3029
1,65,2973
1,66,2606
1,67,2789
1,68,2326
1,69,3246
1,70,2987
1,71,3101
1,72,3863
1,73,3233
1,74,3569
1,75,2807
1,76,2597
1,77,3518
1,78,2794
1,79,2831
1,80,4516
1,81,2673
1,82,3541
1,83,2913
1,84,3512
1,85,2938
1,86,2791
1,87,3295
1,88,2931
1,89,2644
1,90,2771
1,91,3358
1,92,2685
1,93,2464
1,94,2909
1,95,2870
1,96,3174
1,97,3016
1,98,2607
1,99,2912
1,100,2681
1,101,2796
1,102,2678
1,103,2647
1,104,3136
1,105,2826
1,106,2813
1,107,2584
1,108,2797
1,109,4097
1,110,2916
1,111,2731
1,112,2991
1,113,2868
1,114,3893
1,115,2478
1,116,2706
1,117,2521
1,118,2174
1,119,5095
2,0,5516
2,1,3776
2,2,3711
2,3,3128
2,4,2954
2,5,2795
2,6,3140
2,7,2699
2,8,3861
2,9,4089
2,10,3488
2,11,2926
2,12,3408
2,13,3244
2,14,3541
2,15,3009
2,16,3372
2,17,3428
2,18,3121
2,19,3862
2,20,4319
2,21,3198
2,22,2866
2,23,2836
2,24,2659
2,25,4974
2,26,4294
2,27,3916
2,28,3478
2,29,3000
2,30,3590
2,31,3798
2,32,3892
2,33,3597
2,34,4208
2,35,3168
2,36,3717
2,37,4084
2,38,4195
2,39,3740
2,40,3859
2,41,3034
2,42,3622
2,43,3040
2,44,5386
2,45,3442
2,46,3524
2,47,3403
2,48,2698
2,49,4090
2,50,4275
2,51,3497
2,52,3330
2,53,3013
2,54,2813
2,55,2940
2,56,2807
2,57,2966
2,58,2793
2,59,2743
2,60,2702
2,61,3115
2,62,3025
2,63,2782
2,64,2658
2,65,2945
2,66,2787
2,67,2651
2,68,2767
2,69,2651
2,70,3510
2,71,2679
2,72,2710
2,73,2668
2,74,2900
2,75,2697
2,76,2664
2,77,2536
2,78,2982
2,79,2666
2,80,3721
2,81,2849
2,82,2946
2,83,2664
2,84,3097
2,85,2699
2,86,2650
2,87,2753
2,88,3519
2,89,2713
2,90,3674
2,91,3021
2,92,4182
2,93,3325
2,94,3114
2,95,2780
2,96,3307
2,97,2896
2,98,3077
2,99,3250
2,100,3089
2,101,2817
2,102,3785
2,103,2957
2,104,3030
2,105,2996
2,106,2965
2,107,2764
2,108,2788
2,109,3852
2,110,3496
2,111,3099
2,112,2913
2,113,2904
2,114,3939
2,115,3013
2,116,3559
2,117,3082
2,118,3437
2,119,3168
3,0,5200
3,1,2828
3,2,3420
3,3,2853
3,4,3391
3,5,2754
3,6,3428
3,7,2517
3,8,3434
3,9,3205
3,10,3026
3,11,2565
3,12,3157
3,13,2730
3,14,3018
3,15,2435
3,16,2927
3,17,3242
3,18,3098
3,19,3881
3,20,3955
3,21,3124
3,22,2620
3,23,2619
3,24,2617
3,25,4777
3,26,4054
3,27,3722
3,28,3435
3,29,2446
3,30,3699
3,31,4037
3,32,3457
3,33,2849
3,34,3519
3,35,3053
3,36,3804
3,37,4871
3,38,3884
3,39,3479
3,40,2933
3,41,2682
3,42,3684
3,43,3241
3,44,4837
3,45,3316
3,46,2854
3,47,2976
3,48,2513
